,Economic,Capacity,Morality,Fairness,"Legality,",Policy,Crime,Security,Health,Quality,Cultural,Public,Political,External,Other
0,0.005203417036682367,0.007839208468794823,0.0075045921839773655,0.005316306371241808,0.002839211607351899,0.005996437277644873,0.002145587932318449,0.10063471645116806,0.06950561702251434,0.014109928160905838,0.6708750128746033,0.14033357799053192,0.006026717368513346,0.0016807753127068281,0.02324695885181427
1,0.09961600601673126,0.03142687678337097,0.008672504685819149,0.005335409194231033,0.0024710283614695072,0.00587427755817771,0.00416521355509758,0.2525717616081238,0.04696107283234596,0.0450483001768589,0.0461391881108284,0.2418728470802307,0.009659657254815102,0.007303071208298206,0.020764917135238647
2,0.15497459471225739,0.10006497800350189,0.05186804383993149,0.07717253267765045,0.010077877901494503,0.028188548982143402,0.00556519627571106,0.5609318614006042,0.39356276392936707,0.19339758157730103,0.1834273487329483,0.9148379564285278,0.32750123739242554,0.06470922380685806,0.08495058864355087
3,0.22496436536312103,0.3075209856033325,0.21596382558345795,0.22414208948612213,0.14713113009929657,0.23052236437797546,0.11479993164539337,0.41229259967803955,0.25122642517089844,0.3842422366142273,0.2811317443847656,0.7735913395881653,0.6005288362503052,0.042165178805589676,0.19146552681922913
4,0.510322630405426,0.6568650007247925,0.12197371572256088,0.11653619259595871,0.06431341171264648,0.058029450476169586,0.13037921488285065,0.5973559617996216,0.10032568871974945,0.49838685989379883,0.13645458221435547,0.7809840440750122,0.6255732178688049,0.030782056972384453,0.18755295872688293
5,0.10161617398262024,0.1741599589586258,0.030168825760483742,0.031384147703647614,0.007449511904269457,0.03985826298594475,0.024313701316714287,0.34760260581970215,0.1278090924024582,0.2468908131122589,0.027674328535795212,0.2076181024312973,0.10602237284183502,0.0020184714812785387,0.10300417989492416
6,0.24588210880756378,0.2619384229183197,0.06783968210220337,0.06983064115047455,0.025274211540818214,0.39484986662864685,0.625931978225708,0.33363109827041626,0.3120264708995819,0.37229636311531067,0.039661332964897156,0.16046838462352753,0.42896851897239685,0.06733257323503494,0.0547499880194664
7,0.6880013346672058,0.7336578369140625,0.5080937743186951,0.2995740473270416,0.07637331634759903,0.4593265652656555,0.24005252122879028,0.7673236131668091,0.7354668378829956,0.7698235511779785,0.4070979654788971,0.9297501444816589,0.9016076922416687,0.17269358038902283,0.16608648002147675
8,0.6861817240715027,0.4682345390319824,0.28101813793182373,0.2128806710243225,0.06523583084344864,0.33967652916908264,0.1923431158065796,0.820486843585968,0.714600682258606,0.6059204936027527,0.21740195155143738,0.8649246692657471,0.6732402443885803,0.12287022918462753,0.11018911004066467
9,0.3999496102333069,0.2825784683227539,0.21636217832565308,0.04729744791984558,0.032678551971912384,0.18682661652565002,0.05681149661540985,0.5959234237670898,0.690940797328949,0.27004459500312805,0.06729909777641296,0.9422814846038818,0.9183193445205688,0.14965872466564178,0.06409378349781036
10,0.5914372801780701,0.40804144740104675,0.24026134610176086,0.2151946872472763,0.22673623263835907,0.25464776158332825,0.2352568805217743,0.564664363861084,0.07086846232414246,0.5234525203704834,0.16219578683376312,0.9418601989746094,0.851555347442627,0.29088321328163147,0.07867694646120071
