climate change;43.25
addressing climate;31.06
adapting climate;22.46
reduce climate;22.01
reducing emissions;16.95
global emissions;14.18
emissions 2050;13.36
projected climate;13.31
impacts climate;12.95
warming changes;11.87
climate policy;10.08
global warming;10.01
climate initiatives;7.44
global climate;7.38
emissions projected;7.2
new climate;6.92
climate responses;6.91
climate trends;6.65
climate goals;6.03
climate legislation;5.62
climate evaluation;5.2
climate risks;5.14
undp developed;5.06
climate understanding;4.59
climate research;4.49
fuel production;4.4
climate resilient;4.25
nature iucn;4.07
global environmental;4.06
assessment climate;4.05
climate observed;4.02
climate report;4.01
climate health;3.99
climate vulnerability;3.91
warming estimated;3.91
threatened climate;3.89
kyoto protocol;3.84
climate funding;3.81
undp national;3.76
addressing desertification;3.73
emissions pledges;3.67
warming climate;3.59
representing climate;3.56
warming 2050;3.54
anthropogenic warming;3.43
implications climate;3.39
households migration;3.35
climate considered;3.34
climate action;3.29
specific climate;3.28
establish climate;3.24
climate crisis;2.88
disaster reduction;2.87
climate information;2.83
climate implementation;2.8
enabling climate;2.76
emissions ghgs;2.74
worldwide undp;2.59
ambition climate;2.57
chemicals emissions;2.38
climate development;2.36
adaptation interventions;2.35
disaster climate;2.34
climate migration;2.32
climate futures;2.31
emissions continued;2.3
climate contributions;2.28
improved climate;2.28
manage disasters;2.25
nations environment;2.23
global temperature;2.21
organization undp;2.2
scenario emissions;2.2
climate poverty;2.17
earth climate;2.16
emissions greenhouse;2.15
warming include;2.13
united nations;2.12
nations climate;2.11
environmental policy;2.11
climate linked;2.09
redd finance;2.03
climate benefits;1.86
climate households;1.85
warming scenarios;1.82
hazardous wastes;1.81
climate indicators1;1.8
poverty vulnerability;1.8
environment chemicals;1.8
adaptation mitigation;1.79
climate 2019;1.78
chemicals wastes;1.78
warming decades;1.78
adaptation risk;1.76
climate evidence;1.74
negotiations redd;1.73
climate variables;1.71
climate challenges;1.71
2030 climate;1.71
climaterelated hazards;1.7
